city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Windom,Windom,MN,Minnesota,27033,Cottonwood,27033,Cottonwood,43.8736,-95.1201,4205,422,polygon,FALSE,TRUE,America/Chicago,3,56101,1840043161
Miltona,Miltona,MN,Minnesota,27041,Douglas,27041,Douglas,46.0462,-95.2931,401,233,polygon,FALSE,TRUE,America/Chicago,3,56354,1840042721
La Salle,La Salle,MN,Minnesota,27165,Watonwan,27165,Watonwan,44.0711,-94.5713,84,374,polygon,FALSE,TRUE,America/Chicago,3,56056,1840042586
St. Clair,St. Clair,MN,Minnesota,27013,Blue Earth,27013,Blue Earth,44.0838,-93.8601,833,482,polygon,FALSE,TRUE,America/Chicago,3,56001 56080,1840042954
Spring Grove,Spring Grove,MN,Minnesota,27055,Houston,27055,Houston,43.5607,-91.637,1283,496,polygon,FALSE,TRUE,America/Chicago,3,55974,1840043018
Chisago City,Chisago City,MN,Minnesota,27025,Chisago,27025,Chisago,45.3474,-92.9116,5109,157,polygon,FALSE,TRUE,America/Chicago,3,55013,1840042203
Hancock,Hancock,MN,Minnesota,27149,Stevens,27149,Stevens,45.4977,-95.795,732,313,polygon,FALSE,TRUE,America/Chicago,3,56244,1840042469
Swanville,Swanville,MN,Minnesota,27097,Morrison,27097|27153,Morrison|Todd,45.9168,-94.6383,331,261,polygon,FALSE,TRUE,America/Chicago,3,56382,1840043050
Revere,Revere,MN,Minnesota,27127,Redwood,27127,Redwood,44.2215,-95.3611,89,60,polygon,FALSE,TRUE,America/Chicago,3,56166,1840042896
Nashua,Nashua,MN,Minnesota,27167,Wilkin,27167,Wilkin,46.0377,-96.3059,67,7,polygon,FALSE,TRUE,America/Chicago,3,56565,1840042750
Winsted,Winsted,MN,Minnesota,27085,McLeod,27085,McLeod,44.9573,-94.0499,2289,467,polygon,FALSE,TRUE,America/Chicago,3,55395,1840043165
Pillager,Pillager,MN,Minnesota,27021,Cass,27021,Cass,46.3295,-94.4796,468,212,polygon,FALSE,TRUE,America/Chicago,3,56473,1840042848
Myrtle,Myrtle,MN,Minnesota,27047,Freeborn,27047,Freeborn,43.5632,-93.163,46,183,polygon,FALSE,TRUE,America/Chicago,3,56036,1840042749
Kerrick,Kerrick,MN,Minnesota,27115,Pine,27115,Pine,46.3386,-92.5843,63,24,polygon,FALSE,TRUE,America/Chicago,3,55712 55756,1840042571
Jackson,Jackson,MN,Minnesota,27063,Jackson,27063,Jackson,43.6288,-94.9886,3093,262,polygon,FALSE,TRUE,America/Chicago,3,56143,1840042546
Minnesota Lake,Minnesota Lake,MN,Minnesota,27043,Faribault,27043,Faribault,43.8409,-93.8279,652,155,polygon,FALSE,TRUE,America/Chicago,3,56068,1840042725
Kent,Kent,MN,Minnesota,27167,Wilkin,27167,Wilkin,46.4377,-96.6834,77,154,polygon,FALSE,TRUE,America/Chicago,3,56553,1840042568
Nowthen,Nowthen,MN,Minnesota,27003,Anoka,27003,Anoka,45.3421,-93.4495,4699,53,polygon,FALSE,TRUE,America/Chicago,3,55303 55330,1840042788
